MRC Psycholinguistic Database Output
WORD                     NSYL
MALE                     1
MALL                     1
MALM                     1
MALT                     1
MANE                     1
MARC                     1
MARE                     1
MARJ                     1
MARL                     1
MART                     1
MASH                     1
MASK                     1
MAST                     1
MATE                     1
MATH                     1
MAUL                     1
MAUN                     1
MAWK                     1
MAYA                     1
MAZE                     1
MEAD                     1
MEAK                     1
MEAL                     1
MEAN                     1
MEAR                     1
MEAT                     1
MEAW                     1
MEDE                     1
MEED                     1
MEEK                     1
MEER                     1
MEET                     1
MELD                     1
MELL                     1
MELT                     1
MEND                     1
MENG                     1
MENT                     1
MERD                     1
MERE                     1
MERK                     1
MERV                     1
MESH                     1
MESS                     1
MEST                     1
METE                     1
METH                     1
MEUM                     1
MEWL                     1
MEWS                     1
MIAS                     1
MICE                     1
MIDS                     1
MIEN                     1
MIFF                     1
MILD                     1
MILE                     1
MILK                     1
MILL                     1
MILT                     1
MIME                     1
MIND                     1
MINE                     1
MINK                     1
MINT                     1
MINX                     1
MIRE                     1
MIRK                     1
MISE                     1
MIST                     1
MITE                     1
MITT                     1
MIXT                     1
MOAN                     1
MOAT                     1
MOCK                     1
MODE                     1
MOET                     1
MOIL                     1
MOKE                     1
MOLE                     1
MOLL                     1
MOLT                     1
MOME                     1
MONE                     1
MONK                     1
MONT                     1
MOOD                     1
MOON                     1
MOOT                     1
MOPE                     1
MORE                     1
MORN                     1
MORT                     1
MORW                     1
MOSK                     1
MOSS                     1
MOST                     1
MOTE                     1
MOTH                     1
MOUE                     1
MOUL                     1
MOUN                     1
MOVE                     1
MOWE                     1
MOWN                     1
MOYL                     1
MOZE                     1
MUCH                     1
MUCK                     1
MUFF                     1
MUIR                     1
MULE                     1
MULL                     1
MUMP                     1
MURE                     1
MURK                     1
MURR                     1
MUSE                     1
MUSH                     1
MUSK                     1
MUSS                     1
MUST                     1
MUTE                     1
MUTT                     1
MUZZ                     1
MYAL                     1
MYRT                     1
MYTH                     1
NAAM                     1
NABS                     1
NAIB                     1
NAIF                     1
NAIK                     1
NAIL                     1
NAIN                     1
NAIS                     1
NALE                     1
NAME                     1
NAOS                     1
NAPE                     1
NARD                     1
NARE                     1
NARW                     1
NAVE                     1
NAZE                     1
NEAF                     1
NEAL                     1
NEAP                     1
NEAR                     1
NEAT                     1
NECK                     1
NEED                     1
NEEM                     1
NEEP                     1
NEER                     1
NEIF                     1
NERE                     1
NESE                     1
NESH                     1
NESS                     1
NEST                     1
NEWS                     1
NEWT                     1
NEXT                     1
NIDE                     1
NIGH                     1
NILL                     1
NIMB                     1
NINE                     1
NIST                     1
NOCK                     1
NODE                     1
NOIL                     1
NOLD                     1
NOLL                     1
NOLT                     1
NOME                     1
NONE                     1
NOOK                     1
NOON                     1
NOPE                     1
NORE                     1
NORM                     1
NORN                     1
NOSE                     1
NOTE                     1
NOUN                     1
NOWT                     1
NUDE                     1
NULL                     1
NUMB                     1
NUMP                     1
NYAS                     1
OAST                     1
OATH                     1
OGLE                     1
OINT                     1
ONCE                     1
OONS                     1
OOZE                     1
ORFE                     1
ORLE                     1
OSSE                     1
OUCH                     1
OUPH                     1
OURN                     1
OUST                     1
OUZE                     1
OYEZ                     1
PAAS                     1
PACE                     1
PACK                     1
PACT                     1
PAGE                     1
PAID                     1
PAIK                     1
PAIL                     1
PAIN                     1
